SKU,Product title,Product description,Price,Standardized Product Type,Product type,Tag,Published,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status,Collection
10000mAh-Mi-18W-Fast-Charger-Powerbank-3-Black,10000mAh Mi 18W Fast Charger Powerbank 3 Black,Mi 18W Fast Charge Power Bank 3.,79,1267,Variable product,Parent,1,color,BLACK,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/1399/thumbnail/001.png,1,Image,,10000mAh Mi 18W Fast Charger Powerbank 3 Black,Mi 18W Fast Charge Power Bank 3.,electronics,,,,,,,,,,,,,,,,79,,,active,Power banks
10000mAh-Mi-18W-Fast-Charger-Powerbank-3-Black,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1399/thumbnail/202.png,,,,,,,,,,,,,,,,,,,,,,,,,,
10000mAh-Mi-Power-Bank-3-Ultra-Compact,10000mAh Mi Power Bank 3 Ultra Compact,Travel light with a small power bank.,99,1267,Variable product,Parent,1,color,BLACK,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/1398/thumbnail/001.png,1,Image,,10000mAh Mi Power Bank 3 Ultra Compact,Travel light with a small power bank.,electronics,,,,,,,,,,,,,,,,99,,,active,Power banks
10000mAh-Mi-Power-Bank-3-Ultra-Compact,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1398/thumbnail/202.png,,,,,,,,,,,,,,,,,,,,,,,,,,
10000mAh-Mi-Power-Bank-3-Ultra-Compact,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1398/thumbnail/303.png,,,,,,,,,,,,,,,,,,,,,,,,,,
4G-HOT-SPOT-HUAWEI,4G HOT SPOT HUAWEI,"Pocket-Size, Impressively Lightweight",169,1267,Variable product,Parent,1,color,WHITE,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/445/thumbnail/41gjt2hu71L._SL1000_.jpg,1,Image,,4G HOT SPOT HUAWEI,"Pocket-Size, Impressively Lightweight",electronics,,,,,,,,,,,,,,,,169,,,active,Home Devices
4G-HOT-SPOT-HUAWEI,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/445/thumbnail/515vYyG8WAL._SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRPOD-2,AIRPOD 2,With more talk time,499,1267,Variable product,Parent,1,color,WHITE,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/408/thumbnail/71IPFP9WJIL._SL1500_.jpg,1,Image,,AIRPOD 2,With more talk time,electronics,,,,,,,,,,,,,,,,499,,,active,Ear buds
AIRPOD-2,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/408/thumbnail/71E1hsKn8tL._SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRPOD-2,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/408/thumbnail/71dm5q3NT2L._SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRPOD-2,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/408/thumbnail/71SoT+rBYpL._SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRPOD-2,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/408/thumbnail/81iqvkZ3EtL._SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRPOD-2,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/408/thumbnail/716It+1cqXL._SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRPOD-PRO,AIRPOD PRO,Active noise cancellation for immersive sound,775,1267,Variable product,Parent,1,color,WHITE,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/409/thumbnail/71tbMyhmxcL._SL1500_.jpg,1,Image,,AIRPOD PRO,Active noise cancellation for immersive sound,electronics,,,,,,,,,,,,,,,,775,,,active,Ear buds
AIRPOD-PRO,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/409/thumbnail/81PylQDRYoL._SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRPOD-PRO,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/409/thumbnail/71zny7BTRlL._SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRPOD-PRO,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/409/thumbnail/71bhWgQK-cL._SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRPOD-PRO,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/409/thumbnail/71V9-3bT9rL._SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRPOD-PRO,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/409/thumbnail/71llQwico7L._SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRPODS-MAX,AIRPODS MAX,Sounds like an epiphany.,2399,1267,Variable product,Parent,1,color,WHITE,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/803/thumbnail/1.png,1,Image,,AIRPODS MAX,Sounds like an epiphany.,electronics,,,,,,,,,,,,,,,,2399,,,active,Ear Phones
Amazon-Fire-TV-Stick-4K,Amazon Fire TV Stick 4K,"Forget about cables, plug the stick into any TV, monitor or projector with an HDMI port to turn it into a smart TV",249,1267,Variable product,Parent,1,color,BLACK,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/1102/thumbnail/23537395.jpg,1,Image,,Amazon Fire TV Stick 4K,"Forget about cables, plug the stick into any TV, monitor or projector with an HDMI port to turn it into a smart TV",electronics,,,,,,,,,,,,,,,,249,,,active,Home Devices
Amazon-Fire-TV-Stick-4K,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1102/thumbnail/3gsmarena_001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon-Fire-TV-Stick-4K,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1102/thumbnail/1amz tv.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-24W-2-PORT-USB-CHARGING-ADAPTOR-UK,ANKER 24W 2-PORT USB CHARGING ADAPTOR UK,Compact size and worldwide AC 100-240V compatibility make it ideal for international travel,99,1267,Variable product,Parent,1,color,BLACK,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/1009/thumbnail/A5_a3e7e7dd-ed81-4078-8146-d12117231e07_2048x.jpg,1,Image,,ANKER 24W 2-PORT USB CHARGING ADAPTOR UK,Compact size and worldwide AC 100-240V compatibility make it ideal for international travel,electronics,,,,,,,,,,,,,,,,99,,,active,Home Devices
ANKER-24W-2-PORT-USB-CHARGING-ADAPTOR-UK,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1009/thumbnail/a2021213.1.1.1_2048x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-24W-2-PORT-USB-CHARGING-ADAPTOR-UK,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1009/thumbnail/A3_fc7fa165-3160-4405-a819-b0092e1892df_2048x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-24W-2-PORT-USB-CHARGING-ADAPTOR-UK,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1009/thumbnail/A4_5db12b54-7635-44a9-b1f6-bd4a2aaf9e66_2048x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-24W-2-PORT-USB-CHARGING-ADAPTOR-UK,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1009/thumbnail/A2_309990e2-ba42-48fd-8113-2027fa0e47ff_2048x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
